date,season,forecast_load,target_load,load_gap,underload_pct,top_segment_id,top_segment_name,top_3_segment_ids,top_3_segment_names,score_top,recommendation_reason,suggested_action
2025-11-11,autumn,330.8,545.8,215.0,39.4,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-12,autumn,320.4,545.8,225.4,41.3,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-13,autumn,309.0,545.8,236.8,43.4,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-14,autumn,309.1,545.8,236.7,43.4,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-15,autumn,304.5,545.8,241.3,44.2,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-16,autumn,282.9,545.8,262.9,48.2,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-17,autumn,300.0,545.8,245.8,45.0,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-18,autumn,301.0,545.8,244.8,44.9,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-19,autumn,301.7,545.8,244.1,44.7,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-20,autumn,298.8,545.8,247.0,45.3,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-21,autumn,302.2,545.8,243.6,44.6,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-22,autumn,296.5,545.8,249.3,45.7,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-23,autumn,272.7,545.8,273.1,50.0,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-24,autumn,288.0,545.8,257.8,47.2,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-25,autumn,286.2,545.8,259.6,47.6,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-26,autumn,279.6,545.8,266.2,48.8,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-27,autumn,262.8,545.8,283.0,51.9,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-28,autumn,247.9,545.8,297.9,54.6,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-29,autumn,225.0,545.8,320.8,58.8,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-11-30,autumn,190.5,545.8,355.3,65.1,5,Medical Treatment,"[5, 2, 1]","Medical Treatment, Weekday Adults, Weekend Getaway",0.9147,"Medical Treatment (C5): гости с лечебной мотивацией, самая длинная длительность (10+ ночей), высокий ценовой tier. Целевой для медицинских и оздоровительных программ.",Email медицинским партнёрам: осенний оздоровительный курс
2025-12-01,winter,204.9,349.1,144.2,41.3,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-02,winter,211.3,349.1,137.8,39.5,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-03,winter,220.1,349.1,129.0,37.0,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-04,winter,224.0,349.1,125.1,35.8,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-05,winter,233.2,349.1,115.9,33.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-06,winter,235.1,349.1,114.0,32.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-07,winter,221.0,349.1,128.1,36.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-08,winter,246.1,349.1,103.0,29.5,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-09,winter,250.8,349.1,98.3,28.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-10,winter,247.2,349.1,101.9,29.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-11,winter,233.7,349.1,115.4,33.1,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-12,winter,226.1,349.1,123.0,35.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-13,winter,214.5,349.1,134.6,38.6,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-14,winter,190.7,349.1,158.4,45.4,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-15,winter,208.9,349.1,140.2,40.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-16,winter,210.4,349.1,138.7,39.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-17,winter,209.5,349.1,139.6,40.0,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-18,winter,205.4,349.1,143.7,41.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-19,winter,211.7,349.1,137.4,39.4,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-20,winter,214.0,349.1,135.1,38.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-21,winter,199.7,349.1,149.4,42.8,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-22,winter,222.2,349.1,126.9,36.4,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-23,winter,225.0,349.1,124.1,35.5,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-24,winter,225.2,349.1,123.9,35.5,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-25,winter,222.2,349.1,126.9,36.4,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-26,winter,226.7,349.1,122.4,35.1,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-27,winter,220.9,349.1,128.2,36.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-28,winter,192.0,349.1,157.1,45.0,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-29,winter,197.6,349.1,151.5,43.4,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2025-12-30,winter,187.3,349.1,161.8,46.3,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-08,winter,298.6,349.1,50.5,14.5,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-09,winter,301.4,349.1,47.7,13.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-10,winter,258.9,349.1,90.2,25.8,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-11,winter,231.2,349.1,117.9,33.8,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-12,winter,242.1,349.1,107.0,30.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-13,winter,238.8,349.1,110.3,31.6,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-14,winter,236.7,349.1,112.4,32.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-15,winter,232.0,349.1,117.1,33.5,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-16,winter,234.9,349.1,114.2,32.7,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-17,winter,231.7,349.1,117.4,33.6,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-18,winter,213.6,349.1,135.5,38.8,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-19,winter,236.8,349.1,112.3,32.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-20,winter,243.6,349.1,105.5,30.2,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-21,winter,246.7,349.1,102.4,29.3,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
2026-01-22,winter,243.0,349.1,106.1,30.4,3,Last-minute Winter,"[3, 1, 4]","Last-minute Winter, Weekend Getaway, Young Spring Groups",0.7363,"Last-minute Winter (C3): лояльный сегмент с высоким prev_stays, бронирует за 1 неделю до заезда, пик — зима и весна. Реагирует на срочные 'горящие' предложения.","SMS «горящее»: скидка 15%, заезд в течение 7 дней"
